13000.000,3500.000,60.000,12.420,400.990,3737.000,3.000,2.000,175000.000,0.000,2.000,2.000,36.000,17.400,1.000,3.000,5.000,0.000,6088.000,14.000,0.000,4234.307,9487.750,860.530,0.000,0.000,0.000,1886.230,0.000,0.000,4.000
7600.000,8000.000,60.000,15.960,511.490,6744.000,2.000,2.000,88824.000,2.000,0.000,2.000,4.000,24.030,1.000,0.000,8.000,0.000,3745.000,31.000,0.000,14869.600,1125.310,78.900,0.000,0.000,0.000,1621.930,0.000,0.000,3.000
24000.000,21000.000,60.000,9.990,388.060,4567.000,3.000,2.000,50000.000,1.000,2.000,2.000,40.000,15.890,0.000,0.000,12.000,0.000,70717.000,23.000,0.000,14689.098,7000.000,2761.790,0.000,0.000,0.000,2414.600,0.000,0.000,6.000
30000.000,35000.000,36.000,16.770,360.410,4.000,1.000,2.000,70000.000,2.000,2.000,2.000,33.000,17.820,0.000,0.000,8.000,0.000,20089.000,32.000,0.000,4081.600,1849.310,2116.010,0.000,0.000,0.000,167.050,0.000,0.000,2.000
12000.000,3000.000,36.000,9.990,218.040,2132.000,11.000,0.000,74000.000,1.000,2.000,8.000,36.000,0.670,0.000,0.000,14.000,0.000,1375.000,23.000,0.000,14657.918,19000.000,3005.920,0.000,0.000,0.000,306.900,0.000,0.000,5.000
25000.000,24000.000,36.000,10.650,315.630,1736.000,11.000,2.000,75000.000,2.000,2.000,3.000,36.000,14.420,0.000,2.000,6.000,0.000,11965.000,13.000,3802.560,4592.840,2950.750,1660.910,0.000,0.000,0.000,192.490,0.000,0.000,4.000
14000.000,17000.000,36.000,11.710,502.130,2256.000,11.000,2.000,70000.000,1.000,0.000,3.000,28.000,12.100,2.000,3.000,13.000,0.000,27126.000,22.000,0.000,7717.722,12700.000,346.020,0.000,0.000,0.000,215.770,0.000,0.000,1.000
12000.000,2800.000,60.000,12.420,206.240,5683.000,11.000,2.000,95000.000,1.000,0.000,5.000,25.000,2.370,0.000,1.000,8.000,0.000,7332.000,12.000,0.000,14924.925,15000.000,834.550,0.000,0.000,337.800,824.360,0.000,0.000,3.000
6000.000,15775.000,36.000,17.990,365.230,346.000,11.000,0.000,60000.000,2.000,0.000,1.000,33.000,24.600,0.000,2.000,14.000,0.000,7187.000,5.000,0.000,18473.175,24250.000,493.460,0.000,2315.020,0.000,2763.540,0.000,0.000,4.000
5000.000,14750.000,36.000,9.990,76.050,3853.000,0.000,2.000,120000.000,2.000,2.000,2.000,38.000,13.620,0.000,1.000,5.000,0.000,2186.000,37.000,0.000,6735.079,1016.830,0.000,0.000,808.960,0.000,676.200,0.000,0.000,4.000
4000.000,11775.000,60.000,12.420,607.310,2169.000,8.000,2.000,48000.000,2.000,1.000,5.000,4.000,10.610,0.000,2.000,16.000,0.000,477.000,21.000,0.000,12432.640,15600.000,5552.040,0.000,0.000,0.000,136.260,0.000,0.000,4.000
5000.000,12000.000,36.000,7.490,207.860,3327.000,6.000,2.000,37513.000,1.000,2.000,1.000,31.000,18.770,0.000,0.000,6.000,0.000,5209.000,13.000,0.000,7439.400,3000.000,1113.950,14.960,0.000,0.000,133.250,0.000,0.000,2.000
2000.000,7000.000,60.000,11.710,365.010,4714.000,7.000,0.000,36000.000,0.000,2.000,1.000,11.000,13.170,1.000,2.000,3.000,0.000,35520.000,21.000,0.000,14740.760,1835.940,285.770,35.010,0.000,0.000,529.230,0.000,0.000,2.000
